,name,type,coords
0,ADN,VOR,+571838.00-0021602.00
1,BKY,VOR,+515923.00+0000343.00
2,BEL,VOR,+543940.00-0061348.00
3,BEN,DME,+572841.00-0072155.00
4,BHD,VOR,+502355.00-0032937.00
5,BIG,DME,+511951.00+0000205.00
6,BNN,DME,+514334.00-0003259.00
7,BCN,VOR,+514332.00-0031547.00
8,BPK,VOR,+514459.00-0000624.00
9,CLN,VOR,+515055.00+0010851.00
10,CPT,VOR,+512930.00-0011311.00
11,DTY,DME,+521049.00-0010650.00
12,DCS,DME,+544319.00-0032026.00
13,DET,DME,+511814.00+0003550.00
14,DVR,DME,+510945.00+0012133.00
15,DUD,DME,+553332.00-0043606.00
16,GAM,DME,+531653.00-0005650.00
17,GOW,DME,+555214.00-0042645.00
18,GWC,DME,+505119.00-0004524.00
19,GLO,DME,+552324.00-0034412.00
20,HEN,NDB,+514535.00-0004725.00
21,HON,VOR,+522124.00-0013949.00
22,HON,DME,+522124.00-0013949.00
23,IOM,VOR,+540401.00-0044549.00
24,JSY,VOR,+491316.00-0020246.00
25,LAM,DME,+513846.00+0000906.00
26,LND,VOR,+500811.00-0053813.00
27,LON,VOR,+512914.00-0002800.00
28,LYD,DME,+505959.00+0005243.00
29,MAC,DME,+552548.00-0053901.00
30,MCT,VOR,+532125.00-0021544.00
31,MAY,DME,+510102.00+0000658.00
32,MID,DME,+510314.00-0003730.00
33,NEW,DME,+550218.00-0014154.00
34,OCK,DME,+511818.00-0002650.00
35,OTR,VOR,+534154.00-0000613.00
36,PTH,VOR,+562633.00-0032207.00
37,POL,VOR,+534438.00-0020612.00
38,SAB,VOR,+555427.00-0021223.00
39,SFD,VOR,+504538.00+0000719.00
40,SAM,DME,+505719.00-0012042.00
41,STN,VOR,+581225.00-0061059.00
42,STU,VOR,+515941.00-0050225.00
43,SUM,VOR,+595243.00-0011711.00
44,TLA,VOR,+552957.00-0032110.00
45,TIR,VOR,+562936.00-0065232.00
46,TNT,VOR,+530314.00-0014012.00
47,TRN,DME,+551848.00-0044702.00
48,WAL,VOR,+532331.00-0030804.00
49,WIK,VOR,+582732.00-0030601.00
50,WOD,NDB,+512710.00-0005244.00
